Dataset, #TrainingReleases, Classifier, Feature, TruePositive, FalsePositive, TrueNegative, FalseNegative, Cost, Precision, Recall, AUC, Kappa, FMeasure
SYNCOPE,10,NAIVE_BAYES,UNDERSAMPLING,6,8,565,67,0.0,0.42857142857142855,0.0821917808219178,0.6973630734657773,0.10539532479042772,0.13793103448275865
SYNCOPE,10,NAIVE_BAYES,SMOTE,4,10,563,69,0.0,0.2857142857142857,0.0547945205479452,0.7321834134213105,0.057683075445917505,0.09195402298850575
SYNCOPE,10,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,3,6,567,70,706.0,0.3333333333333333,0.0410958904109589,0.5153123431112386,0.04959541600526513,0.07317073170731707
SYNCOPE,11,NAIVE_BAYES,NONE,4,36,548,62,0.0,0.1,0.06060606060606061,0.6902760481527604,-0.001257466205595979,0.07547169811320756
SYNCOPE,11,NAIVE_BAYES,BESTFIRST,9,49,535,57,0.0,0.15517241379310345,0.13636363636363635,0.6907300747198007,0.05543978942750597,0.14516129032258066
SYNCOPE,11,NAIVE_BAYES,GREEDYSTEPWISE,9,49,535,57,0.0,0.15517241379310345,0.13636363636363635,0.6907300747198007,0.05543978942750597,0.14516129032258066
SYNCOPE,11,NAIVE_BAYES,OVERSAMPLING,6,37,547,60,0.0,0.13953488372093023,0.09090909090909091,0.682791095890411,0.03258968300242403,0.11009174311926605
SYNCOPE,11,NAIVE_BAYES,UNDERSAMPLING,8,37,547,58,0.0,0.17777777777777778,0.12121212121212122,0.6853206724782067,0.06736142576650032,0.14414414414414414
SYNCOPE,11,NAIVE_BAYES,SMOTE,9,48,536,57,0.0,0.15789473684210525,0.13636363636363635,0.6942714819427148,0.0576588517935548,0.14634146341463414
SYNCOPE,11,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,8,43,541,58,623.0,0.1568627450980392,0.12121212121212122,0.5237909921129099,0.05291554863094744,0.13675213675213677
SYNCOPE,12,NAIVE_BAYES,NONE,3,2,555,94,0.0,0.6,0.030927835051546393,0.6368894482592682,0.04493595789345575,0.058823529411764705
SYNCOPE,12,NAIVE_BAYES,BESTFIRST,6,6,551,91,0.0,0.5,0.061855670103092786,0.6374632141997816,0.08004872531105886,0.11009174311926606
SYNCOPE,12,NAIVE_BAYES,GREEDYSTEPWISE,6,6,551,91,0.0,0.5,0.061855670103092786,0.6374632141997816,0.08004872531105886,0.11009174311926606
SYNCOPE,12,NAIVE_BAYES,OVERSAMPLING,3,2,555,94,0.0,0.6,0.030927835051546393,0.6354180162505321,0.04493595789345575,0.058823529411764705
SYNCOPE,12,NAIVE_BAYES,UNDERSAMPLING,5,3,554,92,0.0,0.625,0.05154639175257732,0.6390086805234226,0.0743168747578887,0.09523809523809522
SYNCOPE,12,NAIVE_BAYES,SMOTE,6,7,550,91,0.0,0.46153846153846156,0.061855670103092786,0.6376020285402284,0.07672361635310723,0.1090909090909091
SYNCOPE,12,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,5,3,554,92,923.0,0.625,0.05154639175257732,0.5230801976716208,0.0743168747578887,0.09523809523809522
SYNCOPE,13,NAIVE_BAYES,NONE,11,14,567,64,0.0,0.44,0.14666666666666667,0.672346528973035,0.17270816491511706,0.22
SYNCOPE,13,NAIVE_BAYES,BESTFIRST,12,14,567,63,0.0,0.46153846153846156,0.16,0.6879403327596099,0.1899416255051634,0.2376237623762376
SYNCOPE,13,NAIVE_BAYES,GREEDYSTEPWISE,12,14,567,63,0.0,0.46153846153846156,0.16,0.6879403327596099,0.1899416255051634,0.2376237623762376
SYNCOPE,13,NAIVE_BAYES,OVERSAMPLING,11,13,568,64,0.0,0.4583333333333333,0.14666666666666667,0.6726104417670683,0.1765779864371408,0.22222222222222224
SYNCOPE,13,NAIVE_BAYES,UNDERSAMPLING,7,5,576,68,0.0,0.5833333333333334,0.09333333333333334,0.6639586919104992,0.13359386307714544,0.16091954022988506
SYNCOPE,13,NAIVE_BAYES,SMOTE,2,2,579,73,0.0,0.5,0.02666666666666667,0.6645438898450947,0.03951272840855776,0.05063291139240507
SYNCOPE,13,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,15,16,565,60,616.0,0.4838709677419355,0.2,0.5862306368330464,0.2316370249360417,0.28301886792452835
SYNCOPE,14,NAIVE_BAYES,NONE,26,43,553,67,0.0,0.37681159420289856,0.27956989247311825,0.7389315869235765,0.2327704891480403,0.32098765432098764
SYNCOPE,14,NAIVE_BAYES,BESTFIRST,18,13,583,75,0.0,0.5806451612903226,0.1935483870967742,0.7725788410189796,0.23896071294088111,0.2903225806451613
SYNCOPE,14,NAIVE_BAYES,GREEDYSTEPWISE,18,13,583,75,0.0,0.5806451612903226,0.1935483870967742,0.7725788410189796,0.23896071294088111,0.2903225806451613
SYNCOPE,14,NAIVE_BAYES,OVERSAMPLING,27,44,552,66,0.0,0.38028169014084506,0.2903225806451613,0.7382640542686008,0.24050506062731739,0.32926829268292684
