Index,Class,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_Churn,AVG_Holiday,Buggy
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,905,299,9,36,3,221,95,143,65,15.888889,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCacheMXBean.java,45,45,1,0,1,45,45,45,45,45.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Journal.java,576,602,3,0,2,589,550,576,550,192.0,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,0,0,0,0,0,0,0,0,0.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,184,17,3,12,2,8,4,-1,1,-0.33333334,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,113,12,2,6,2,10,10,8,9,4.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,172,22,3,18,2,20,10,18,8,6.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,108,4,1,6,1,4,4,4,4,4.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,2,1,0,1,1,1,0,0,0.0,27.0,NO
2,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,49,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,0,0,0,0,0,0,0,0,0.0,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,36,4,1,6,1,2,2,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,79,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,172,30,2,12,1,21,11,12,10,6.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/admin/HedwigAdmin.java,400,414,3,6,2,407,397,400,397,133.33333,27.0,YES
2,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,92,0,0,0,0,0,0,0,0,0.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,46,761,8,18,2,128,92,-505,21,-63.125,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,153,103,6,30,3,30,19,-43,2,-7.1666665,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,209,5,1,0,1,5,5,5,5,5.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,27,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,451,617,5,0,3,534,425,451,425,90.2,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,105,0,0,0,0,0,0,0,0,0.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,276,62,3,12,2,61,30,60,30,20.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/InterleavedLedgerStorage.java,187,235,4,12,2,211,183,187,183,46.75,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,0,0,0,0,0,0,0,0,0.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheImpl.java,788,896,7,24,3,842,712,788,712,112.57143,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCacheMXBean.java,60,60,1,0,1,60,60,60,60,60.0,27.0,NO
