LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_Churn,AVG_Holiday,Buggy
119,119,1,0,1,119,119,119,119,119.0,0.0,NO
34,34,1,0,1,34,34,34,34,34.0,0.0,NO
29,29,1,0,1,29,29,29,29,29.0,0.0,NO
72,78,2,0,2,75,69,72,69,36.0,0.0,NO
59,59,1,0,1,59,59,59,59,59.0,0.0,NO
43,43,1,0,1,43,43,43,43,43.0,0.0,NO
94,96,2,0,2,95,94,94,94,47.0,0.0,NO
50,54,2,0,2,52,48,50,48,25.0,0.0,NO
237,253,2,0,2,245,224,237,224,118.5,0.0,NO
125,125,1,0,1,125,125,125,125,125.0,0.0,NO
334,334,1,0,1,334,334,334,334,334.0,0.0,NO
39,39,1,0,1,39,39,39,39,39.0,0.0,NO
144,144,4,0,2,144,122,144,122,36.0,0.0,NO
856,856,1,0,1,856,856,856,856,856.0,0.0,NO
170,170,1,0,1,170,170,170,170,170.0,0.0,NO
69,69,1,0,1,69,69,69,69,69.0,0.0,NO
34,34,1,0,1,34,34,34,34,34.0,0.0,NO
72,78,2,0,2,75,69,72,69,36.0,0.0,NO
77,77,1,0,1,77,77,77,77,77.0,0.0,NO
33,33,1,0,1,33,33,33,33,33.0,0.0,NO
57,59,2,0,2,58,55,57,55,28.5,0.0,NO
64,64,1,0,1,64,64,64,64,64.0,0.0,NO
37,43,2,0,1,40,35,37,35,18.5,0.0,NO
26,26,1,0,1,26,26,26,26,26.0,0.0,NO
112,112,1,0,1,112,112,112,112,112.0,0.0,NO
755,799,2,0,2,777,755,755,755,377.5,0.0,NO
57,59,2,0,2,58,55,57,55,28.5,0.0,NO
181,221,2,0,2,201,182,181,182,90.5,0.0,NO
92,92,1,0,1,92,92,92,92,92.0,0.0,NO
527,627,5,0,3,577,553,527,553,105.4,0.0,NO
175,175,1,0,1,175,175,175,175,175.0,0.0,NO
94,94,1,0,1,94,94,94,94,94.0,0.0,NO
98,98,1,0,1,98,98,98,98,98.0,0.0,NO
111,111,1,0,1,111,111,111,111,111.0,0.0,NO
306,378,2,0,2,342,300,306,300,153.0,0.0,NO
49,49,1,0,1,49,49,49,49,49.0,0.0,NO
57,59,2,0,2,58,55,57,55,28.5,0.0,NO
565,629,4,0,3,597,566,565,566,141.25,0.0,NO
63,71,2,0,1,67,64,63,64,31.5,0.0,NO
213,213,1,0,1,213,213,213,213,213.0,0.0,NO
45,45,1,0,1,45,45,45,45,45.0,0.0,NO
