@relation BOOKKEEPER//training//training_2_BOOKKEEPER

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute AVG_Holiday numeric
@attribute Buggy {'YES', 'NO'}

@data
77,81,2,0,2,79,77,77,77,38.5,0.0,NO
6367,18077,2,0,2,12222,6127,6367,6095,3183.5,0.0,NO
704,780,3,0,2,742,703,704,703,234.66667,0.0,YES
105,205,3,0,2,155,104,105,104,35.0,0.0,NO
471,795,9,0,3,633,487,471,487,52.333332,0.0,YES
216,232,4,0,2,224,216,216,216,54.0,0.0,YES
81,103,4,0,3,92,80,81,80,20.25,0.0,NO
48,52,2,0,2,50,48,48,48,24.0,0.0,NO
162,164,2,0,2,163,162,162,162,81.0,0.0,NO
92,150,3,0,3,121,81,92,81,30.666666,0.0,YES
47,55,2,0,2,51,47,47,47,23.5,0.0,NO
144,144,1,0,1,144,144,144,144,144.0,0.0,YES
165,199,4,0,3,182,138,165,138,41.25,0.0,YES
39,39,1,0,1,39,39,39,39,39.0,0.0,NO
157,263,8,0,3,210,167,157,167,19.625,0.0,YES
123,137,4,0,2,130,122,123,122,30.75,0.0,YES
427,451,3,0,2,439,426,427,426,142.33333,0.0,YES
533,579,8,0,3,556,521,533,521,66.625,0.0,NO
83,89,3,0,2,86,82,83,82,27.666666,0.0,NO
149,187,5,0,3,168,133,149,133,29.8,0.0,YES
153,157,2,0,2,155,153,153,153,76.5,0.0,NO
38,48,2,0,2,43,38,38,38,19.0,0.0,NO
64,66,2,0,2,65,64,64,64,32.0,0.0,NO
130,154,4,0,2,142,129,130,129,32.5,0.0,YES
137,401,5,0,3,269,126,137,126,27.4,0.0,YES
37,37,1,0,1,37,37,37,37,37.0,0.0,NO
58,60,2,0,2,59,58,58,58,29.0,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,YES
28,28,1,0,1,28,28,28,28,28.0,0.0,NO
39,41,2,0,2,40,39,39,39,19.5,0.0,NO
103,151,6,0,2,127,101,103,101,17.166666,0.0,YES
74,74,1,0,1,74,74,74,74,74.0,0.0,NO
63,71,2,0,2,67,63,63,63,31.5,0.0,NO
137,333,4,0,2,235,137,137,137,34.25,0.0,NO
173,213,4,0,3,193,170,173,170,43.25,0.0,YES
132,146,3,0,3,139,75,132,75,44.0,0.0,NO
67,85,4,0,3,76,67,67,67,16.75,0.0,NO
148,168,3,0,2,158,147,148,147,49.333332,0.0,NO
78,86,2,0,2,82,78,78,78,39.0,0.0,NO
174,194,3,0,2,184,173,174,173,58.0,0.0,NO
377,417,4,0,2,397,377,377,377,94.25,0.0,YES
43,43,1,0,1,43,43,43,43,43.0,0.0,YES
244,436,5,0,2,340,252,244,252,48.8,0.0,NO
76,80,2,0,2,78,76,76,76,38.0,0.0,NO
35,0,0,0,0,0,0,0,0,0.0,27.0,NO
379,423,4,1,3,401,228,379,211,94.75,27.0,NO
92,4,1,0,1,2,2,0,0,0.0,27.0,NO
88,90,2,0,1,89,84,88,84,44.0,27.0,NO
63,63,1,0,1,63,63,63,63,63.0,27.0,NO
51,55,2,0,2,53,52,51,52,25.5,27.0,NO
147,0,0,0,0,0,0,0,0,0.0,27.0,NO
148,19,1,0,1,9,9,-1,0,-1.0,27.0,NO
105,0,0,0,0,0,0,0,0,0.0,27.0,NO
77,9,1,0,1,9,9,9,9,9.0,27.0,NO
694,295,10,7,3,193,48,91,43,9.1,27.0,NO
62,0,0,0,0,0,0,0,0,0.0,27.0,NO
35,2,1,1,1,1,1,0,0,0.0,27.0,NO
27,27,1,0,1,27,27,27,27,27.0,27.0,NO
190,17,1,1,1,15,15,13,13,13.0,27.0,NO
66,0,0,0,0,0,0,0,0,0.0,27.0,NO
84,0,0,0,0,0,0,0,0,0.0,27.0,NO
171,8,1,1,1,5,5,2,2,2.0,27.0,NO
88,148,2,0,1,118,113,88,113,44.0,27.0,NO
312,76,5,3,3,70,44,64,44,12.8,27.0,NO
175,42,2,2,2,12,7,-18,3,-9.0,27.0,NO
50,0,0,0,0,0,0,0,0,0.0,27.0,NO
425,431,2,1,1,428,424,425,424,212.5,27.0,NO
74,2,1,1,1,1,1,0,0,0.0,27.0,NO
62,0,0,0,0,0,0,0,0,0.0,27.0,NO
48,0,0,0,0,0,0,0,0,0.0,27.0,NO
46,0,0,0,0,0,0,0,0,0.0,27.0,NO
509,581,7,1,3,545,378,509,378,72.71429,27.0,NO
65,22,1,1,1,13,13,4,4,4.0,27.0,NO
36,7,2,2,1,7,5,7,5,3.5,27.0,NO
56,6,1,1,1,3,3,0,0,0.0,27.0,NO
31,31,1,0,1,31,31,31,31,31.0,27.0,NO
28,0,0,0,0,0,0,0,0,0.0,27.0,NO
114,28,1,1,1,14,14,0,0,0.0,27.0,NO
764,1422,20,9,3,580,106,-262,53,-13.1,27.0,NO
363,16,1,1,1,5,5,-6,0,-6.0,27.0,NO
183,0,0,0,0,0,0,0,0,0.0,27.0,NO
58,0,0,0,0,0,0,0,0,0.0,27.0,NO
800,110,4,2,2,91,73,72,62,18.0,27.0,NO
42,0,0,0,0,0,0,0,0,0.0,27.0,NO
582,270,6,3,3,152,106,34,68,5.6666665,27.0,NO
90,90,1,0,1,90,90,90,90,90.0,27.0,NO
143,5,1,1,1,5,5,5,5,5.0,27.0,NO
79,3,1,1,1,2,2,1,1,1.0,27.0,NO
132,132,1,1,1,132,132,132,132,132.0,27.0,NO
141,4,1,1,1,4,4,4,4,4.0,27.0,NO
38,0,0,0,0,0,0,0,0,0.0,27.0,NO
612,210,4,3,1,185,98,160,92,40.0,27.0,NO
90,47,1,1,1,25,25,3,3,3.0,27.0,NO
85,0,0,0,0,0,0,0,0,0.0,27.0,NO
85,4,1,1,1,4,4,4,4,4.0,27.0,NO
80,5,1,1,1,5,5,5,5,5.0,27.0,NO
103,6,1,1,1,5,5,4,4,4.0,27.0,NO
160,1,1,0,1,1,1,1,1,1.0,27.0,NO
271,297,2,0,1,284,260,271,260,135.5,27.0,NO
86,20,1,0,1,18,18,16,16,16.0,27.0,NO
507,65,4,4,2,29,15,-7,6,-1.75,27.0,NO
27,133,2,0,1,80,79,27,79,13.5,27.0,NO
111,0,0,0,0,0,0,0,0,0.0,27.0,NO
64,0,0,0,0,0,0,0,0,0.0,27.0,NO
37,37,1,0,1,37,37,37,37,37.0,27.0,NO
43,0,0,0,0,0,0,0,0,0.0,27.0,NO
664,667,2,0,1,666,665,665,665,332.5,27.0,NO
74,0,0,0,0,0,0,0,0,0.0,27.0,NO
48,48,1,0,1,48,48,48,48,48.0,27.0,NO
256,64,3,2,2,43,33,22,19,7.3333335,27.0,NO
905,299,9,6,3,221,95,143,65,15.888889,27.0,NO
45,45,1,0,1,45,45,45,45,45.0,27.0,NO
576,602,3,0,2,589,550,576,550,192.0,27.0,NO
63,0,0,0,0,0,0,0,0,0.0,27.0,NO
184,17,3,2,2,8,4,-1,1,-0.33333334,27.0,NO
113,12,2,1,2,10,10,8,9,4.0,27.0,NO
172,22,3,3,2,20,10,18,8,6.0,27.0,NO
108,4,1,1,1,4,4,4,4,4.0,27.0,NO
98,2,1,0,1,1,1,0,0,0.0,27.0,NO
49,0,0,0,0,0,0,0,0,0.0,27.0,NO
148,0,0,0,0,0,0,0,0,0.0,27.0,NO
36,4,1,1,1,2,2,0,0,0.0,27.0,NO
79,0,0,0,0,0,0,0,0,0.0,27.0,NO
172,30,2,2,1,21,11,12,10,6.0,27.0,NO
400,414,3,1,2,407,397,400,397,133.33333,27.0,NO
92,0,0,0,0,0,0,0,0,0.0,27.0,NO
46,761,8,3,2,128,92,-505,21,-63.125,27.0,NO
153,103,6,5,3,30,19,-43,2,-7.1666665,27.0,NO
209,5,1,0,1,5,5,5,5,5.0,27.0,NO
27,0,0,0,0,0,0,0,0,0.0,27.0,NO
451,617,5,0,3,534,425,451,425,90.2,27.0,NO
105,0,0,0,0,0,0,0,0,0.0,27.0,NO
276,62,3,2,2,61,30,60,30,20.0,27.0,NO
187,235,4,2,2,211,183,187,183,46.75,27.0,NO
81,0,0,0,0,0,0,0,0,0.0,27.0,NO
788,896,7,4,3,842,712,788,712,112.57143,27.0,NO
60,60,1,0,1,60,60,60,60,60.0,27.0,NO
48,0,0,0,0,0,0,0,0,0.0,27.0,NO
162,0,0,0,0,0,0,0,0,0.0,27.0,NO
150,68,2,1,2,63,58,58,53,29.0,27.0,NO
169,6,2,2,2,5,4,4,4,2.0,27.0,NO
236,236,1,0,1,236,236,236,236,236.0,27.0,NO
150,59,2,1,1,26,25,-7,0,-3.5,27.0,NO
129,8,1,1,1,7,7,6,6,6.0,27.0,NO
481,70,2,1,1,62,50,54,42,27.0,27.0,NO
529,22,4,0,1,9,5,-4,0,-1.0,27.0,NO
66,82,2,0,1,74,69,66,69,33.0,27.0,NO
72,8,1,0,1,8,8,8,8,8.0,27.0,NO
132,6,1,1,1,4,4,2,2,2.0,27.0,NO
32,2,1,1,1,1,1,0,0,0.0,27.0,NO
196,208,2,1,1,202,195,196,195,98.0,27.0,NO
74,0,0,0,0,0,0,0,0,0.0,27.0,NO
32,32,1,0,1,32,32,32,32,32.0,27.0,NO
137,0,0,0,0,0,0,0,0,0.0,27.0,NO
132,0,0,0,0,0,0,0,0,0.0,27.0,NO
84,35,1,0,1,26,26,17,17,17.0,27.0,NO
148,0,0,0,0,0,0,0,0,0.0,27.0,NO
78,0,0,0,0,0,0,0,0,0.0,27.0,NO
174,0,0,0,0,0,0,0,0,0.0,27.0,NO
1041,1073,2,1,1,1057,1029,1041,1029,520.5,27.0,NO
43,2,1,1,1,1,1,0,0,0.0,27.0,NO
368,486,2,0,2,305,294,124,123,62.0,27.0,NO
76,0,0,0,0,0,0,0,0,0.0,27.0,NO
77,77,1,0,1,77,77,77,77,77.0,27.0,NO
242,13,1,1,1,12,12,11,11,11.0,27.0,NO
55,13,1,0,1,9,9,5,5,5.0,27.0,NO
29,0,0,0,0,0,0,0,0,0.0,27.0,NO
37,0,0,0,0,0,0,0,0,0.0,27.0,NO
180,0,0,0,0,0,0,0,0,0.0,27.0,NO
98,0,0,0,0,0,0,0,0,0.0,27.0,NO
215,239,3,1,1,227,177,215,177,71.666664,27.0,NO
45,0,0,0,0,0,0,0,0,0.0,27.0,NO
158,164,3,1,1,161,157,158,157,52.666668,27.0,NO
27,27,1,0,1,27,27,27,27,27.0,27.0,NO
227,0,0,0,0,0,0,0,0,0.0,27.0,NO
98,0,0,0,0,0,0,0,0,0.0,27.0,NO
96,0,0,0,0,0,0,0,0,0.0,27.0,NO
60,0,0,0,0,0,0,0,0,0.0,27.0,NO
74,0,0,0,0,0,0,0,0,0.0,27.0,NO
84,0,0,0,0,0,0,0,0,0.0,27.0,NO
163,12,2,1,2,9,6,6,4,3.0,27.0,NO
41,0,0,0,0,0,0,0,0,0.0,27.0,NO
39,0,0,0,0,0,0,0,0,0.0,27.0,NO
53,0,0,0,0,0,0,0,0,0.0,27.0,NO
201,4,1,1,1,4,4,4,4,4.0,27.0,NO
72,0,0,0,0,0,0,0,0,0.0,27.0,NO
94,3,1,0,1,3,3,3,3,3.0,27.0,NO
22,0,0,0,0,0,0,0,0,0.0,27.0,NO
31,35,2,0,2,33,33,31,33,15.5,27.0,NO
98,0,0,0,0,0,0,0,0,0.0,27.0,NO
36,36,1,1,1,36,36,36,36,36.0,27.0,NO
906,245,3,1,1,207,165,169,131,56.333332,27.0,NO
574,14,2,1,1,11,8,8,5,4.0,27.0,NO
436,107,3,2,1,79,53,51,53,17.0,27.0,NO
191,195,2,1,1,193,190,191,190,95.5,27.0,NO
64,64,1,0,1,64,64,64,64,64.0,27.0,NO
255,209,4,3,1,130,79,51,20,12.75,27.0,NO
507,192,9,6,2,153,61,114,59,12.666667,27.0,NO
299,14,2,1,1,12,8,10,8,5.0,27.0,NO
103,0,0,0,0,0,0,0,0,0.0,27.0,NO
227,52,3,3,2,49,26,46,26,15.333333,27.0,NO
42,0,0,0,0,0,0,0,0,0.0,27.0,NO
67,3,1,0,1,3,3,3,3,3.0,27.0,NO
57,5,1,1,1,5,5,5,5,5.0,27.0,NO
58,0,0,0,0,0,0,0,0,0.0,27.0,NO
58,0,0,0,0,0,0,0,0,0.0,27.0,NO
41,0,0,0,0,0,0,0,0,0.0,27.0,NO
355,359,2,1,1,357,357,355,357,177.5,27.0,NO
69,0,0,0,0,0,0,0,0,0.0,27.0,NO
81,11,1,0,1,10,10,9,9,9.0,27.0,NO
32,2,1,1,1,1,1,0,0,0.0,27.0,NO
216,27,3,2,1,19,9,11,7,3.6666667,27.0,NO
282,11,1,1,1,11,11,11,11,11.0,27.0,NO
101,0,0,0,0,0,0,0,0,0.0,27.0,NO
54,0,0,0,0,0,0,0,0,0.0,27.0,NO
88,0,0,0,0,0,0,0,0,0.0,27.0,NO
446,19,2,2,1,18,17,17,17,8.5,27.0,NO
94,0,0,0,0,0,0,0,0,0.0,27.0,NO
342,78,1,1,1,42,42,6,6,6.0,27.0,NO
168,14,1,0,1,14,14,14,14,14.0,27.0,NO
165,81,1,0,1,59,59,37,37,37.0,27.0,NO
162,13,1,0,1,13,13,13,13,13.0,27.0,NO
31,0,0,0,0,0,0,0,0,0.0,27.0,NO
94,0,0,0,0,0,0,0,0,0.0,27.0,NO
63,9,1,0,1,9,9,9,9,9.0,27.0,NO
366,2,1,1,1,1,1,0,0,0.0,27.0,NO
682,144,4,2,1,120,38,96,37,24.0,27.0,NO
40,40,1,1,1,40,40,40,40,40.0,27.0,NO
57,0,0,0,0,0,0,0,0,0.0,27.0,NO
318,91,3,1,2,86,47,81,47,27.0,27.0,NO
71,0,0,0,0,0,0,0,0,0.0,27.0,NO
124,0,0,0,0,0,0,0,0,0.0,27.0,NO
355,334,3,3,1,253,241,172,174,57.333332,27.0,NO
136,3,1,1,1,3,3,3,3,3.0,27.0,NO
37,0,0,0,0,0,0,0,0,0.0,27.0,NO
283,42,4,3,3,36,23,30,23,7.5,27.0,NO
27,0,0,0,0,0,0,0,0,0.0,27.0,NO
85,27,1,1,1,24,24,21,21,21.0,27.0,NO
77,0,0,0,0,0,0,0,0,0.0,27.0,NO
6523,12852,1,0,1,6504,6504,156,156,156.0,27.0,NO
744,46,3,1,1,43,29,40,28,13.333333,27.0,NO
473,748,12,5,3,375,253,2,59,0.16666667,27.0,NO
47,0,0,0,0,0,0,0,0,0.0,27.0,NO
147,7,1,1,1,5,5,3,3,3.0,27.0,NO
39,0,0,0,0,0,0,0,0,0.0,27.0,NO
52,58,2,0,1,55,53,52,53,26.0,27.0,NO
92,92,1,0,1,92,92,92,92,92.0,27.0,NO
83,0,0,0,0,0,0,0,0,0.0,27.0,NO
55,55,1,0,1,55,55,55,55,55.0,27.0,NO
62,235,5,2,1,74,36,-87,30,-17.4,27.0,NO
153,0,0,0,0,0,0,0,0,0.0,27.0,NO
38,0,0,0,0,0,0,0,0,0.0,27.0,NO
51,53,2,1,1,52,51,51,51,25.5,27.0,NO
58,58,1,0,1,58,58,58,58,58.0,27.0,NO
139,22,1,1,1,12,12,2,2,2.0,27.0,NO
37,0,0,0,0,0,0,0,0,0.0,27.0,NO
58,0,0,0,0,0,0,0,0,0.0,27.0,NO
91,91,1,0,1,91,91,91,91,91.0,27.0,NO
28,0,0,0,0,0,0,0,0,0.0,27.0,NO
39,0,0,0,0,0,0,0,0,0.0,27.0,NO
127,94,5,4,2,59,37,24,14,4.8,27.0,NO
63,0,0,0,0,0,0,0,0,0.0,27.0,NO
189,18,3,3,2,17,15,16,15,5.3333335,27.0,NO
549,192,6,4,2,182,110,172,110,28.666666,27.0,NO
